date,trade#,dow,return,wr,news1,news2,news3
2025-08-05,1.0,2,2,1,epmi1,,
2025-08-06,1.0,3,-1,0,,,
2025-08-06,2.0,3,2,1,,,
2025-08-07,1.0,4,-1,0,,,
2025-08-07,2.0,4,-1,0,,,
2025-08-08,1.0,5,2,1,,,
2025-08-11,1.0,1,-1,0,,,
2025-08-11,2.0,1,2,1,,,
2025-08-12,1.0,2,-1,0,cpi,,
2025-08-12,2.0,2,-1,0,cpi,,
2025-08-13,1.0,3,-1,0,,,
2025-08-13,2.0,3,2,1,,,
2025-08-15,1.0,5,2,1,puom-cs,retail-sales,
2025-08-15,2.0,5,2,1,puom-cs,retail-sales,
2025-08-18,1.0,1,-1,0,,,
2025-08-18,2.0,1,-1,0,,,
2025-08-19,1.0,2,-1,0,,,
2025-08-19,2.0,2,2,1,,,
2025-08-20,1.0,3,2,1,,,fomc-m
2025-08-21,1.0,4,2,1,apmi9,epmi9,
2025-08-22,1.0,5,0,0,fed-chair-s,,
2025-08-25,1.0,1,2,1,,,
2025-08-26,1.0,2,-1,0,,,
2025-08-26,2.0,2,2,1,,,
2025-08-27,1.0,3,-1,0,,,
2025-08-27,2.0,3,2,1,,,
2025-08-28,1.0,4,-1,0,,,
2025-08-28,2.0,4,2,1,,,
2025-08-29,1.0,5,2,1,pce,,
2025-08-29,2.0,5,-1,0,pce,,
2025-09-02,1.0,1,2,1,apmi1,,
2025-09-02,2.0,1,-1,0,apmi1,,
2025-09-03,1.0,3,-1,0,,jolts,
2025-09-03,2.0,3,2,1,,jolts,
2025-09-04,1.0,4,-1,0,epmi1,,adp-nfp
2025-09-04,2.0,4,2,1,epmi1,,adp-nfp
2025-09-05,1.0,5,-1,0,,ur,nfp
2025-09-05,2.0,5,2,1,,ur,nfp
2025-09-08,1.0,1,2,1,,,
2025-09-08,2.0,1,-1,0,,,
2025-09-09,1.0,2,-1,0,,,
2025-09-09,2.0,2,-1,0,,,
2025-09-10,1.0,3,-1,0,ppi,,
2025-09-10,2.0,3,-1,0,ppi,,
2025-09-11,1.0,4,-1,0,cpi,,
2025-09-12,1.0,5,-1,0,,puom-cs,
2025-09-12,2.0,5,2,1,,puom-cs,
2025-09-15,1.0,1,2,1,,,
2025-09-15,2.0,1,1,0,,,
2025-09-16,1.0,2,2,1,,retail-sales,
2025-09-17,1.0,3,-1,0,,,fomc-s
2025-09-17,2.0,3,2,0,,,fomc-s
2025-09-18,1.0,4,-1,0,,,
2025-09-18,2.0,4,2,1,,,
2025-09-19,1.0,5,-1,0,,,
2025-09-19,2.0,5,2,1,,,
2025-09-22,1.0,1,2,1,,,
2025-09-23,1.0,2,0,0,apmi9,epmi9,fed-chair-s
2025-09-24,1.0,3,2,1,,,
2025-09-24,2.0,3,2,1,,,
2025-09-25,1.0,4,2,1,,,
2025-09-26,1.0,5,-1,0,pce,,
2025-09-26,2.0,5,2,1,pce,,
2025-09-29,1.0,1,0,0,,,
2025-09-30,1.0,2,-1,0,jolts,,
2025-10-01,1.0,3,2,1,apmi1,,adp-nfp
2025-10-02,1.0,4,-1,0,,,
2025-10-03,1.0,5,-1,0,epmi1,,
2025-10-03,2.0,5,-1,0,epmi1,,
2025-10-06,1.0,1,-1,0,,,
2025-10-06,2.0,1,-1,0,,,
2025-10-07,1.0,2,2,1,,,
2025-10-08,1.0,3,2,1,,,fomc-m
2025-10-08,2.0,3,-1,0,,,fomc-m
2025-10-09,1.0,4,2,1,,,
2025-10-10,1.0,5,-1,0,,puom-cs,
2025-10-10,2.0,5,-1,0,,puom-cs,
2025-10-13,1.0,1,-1,0,bnk,,
2025-10-13,2.0,1,-1,0,bnk,,
2025-10-14,1.0,2,-1,0,fed-chair-s,,
2025-10-14,2.0,2,2,1,fed-chair-s,,
2025-10-15,1.0,3,2,1,,,
2025-10-15,2.0,3,-1,0,,,
2025-10-16,1.0,4,2,1,,,
2025-10-17,1.0,5,-1,0,,,
2025-10-20,1.0,1,2,1,,,
2025-10-22,1.0,3,-1,0,,,
2025-10-22,2.0,3,2,1,,,
2025-10-23,1.0,4,2,1,,,
2025-10-23,2.0,4,-1,0,,,
2025-10-24,1.0,5,-1,0,cpi,,
2025-10-24,2.0,5,-1,0,cpi,,
2025-10-27,1.0,1,2,1,,,
2025-10-28,1.0,2,-1,0,,,
2025-10-28,2.0,2,-1,0,,,
2025-10-29,1.0,3,-1,0,,,fomc-s
2025-10-29,2.0,3,-1,0,,,fomc-s
2025-10-30,1.0,4,-1,0,,,
2025-10-30,2.0,4,-1,0,,,
2025-10-31,1.0,5,2,1,,,
2025-11-03,1.0,1,2,1,apmi1,,
2025-11-04,1.0,2,-1,0,,,
2025-11-04,2.0,2,-1,0,,,
2025-11-05,1.0,3,-1,0,epmi1,,adp-nfp
2025-11-06,1.0,4,2,1,,,
2025-11-06,2.0,4,2,1,,,
2025-11-07,1.0,5,-1,0,,,
2025-11-07,2.0,5,2,1,,,
2025-11-10,1.0,1,0,0,,,
2025-11-11,1.0,2,-1,0,bnk,,
2025-11-11,2.0,2,2,1,bnk,,
2025-11-12,1.0,3,-1,0,,,
2025-11-12,2.0,3,2,1,,,
2025-11-13,1.0,4,-1,0,,,
2025-11-13,2.0,4,-1,0,,,
2025-11-14,1.0,5,2,1,,,
2025-11-17,1.0,1,2,1,,,
2025-11-17,2.0,1,-1,0,,,
2025-11-18,1.0,2,2,1,,,
2025-11-19,1.0,3,2,1,,,fomc-m
2025-11-20,1.0,4,-1,0,,ur,nfp
2025-11-20,2.0,4,-1,0,,ur,nfp
2025-11-21,1.0,5,-1,0,apmi9,epmi9,
2025-11-24,1.0,1,-1,0,,,
2025-11-25,1.0,2,-1,0,ppi,retail-sales,
2025-11-26,1.0,3,-1,0,,,
2025-11-26,2.0,3,-1,0,,,
2025-11-28,1.0,5,-1,0,,,
2025-12-01,1.0,1,-1,0,,,
2025-12-01,2.0,1,-1,0,,,
2025-12-02,1.0,2,2,1,,,
2025-12-02,2.0,2,-1,0,,,
2025-12-04,1.0,4,2,1,,,
2025-12-04,2.0,4,-1,0,,,
2025-12-05,1.0,5,-1,0,,,
2025-12-08,1.0,1,2,1,,,
2025-12-09,1.0,2,2,1,,,
2025-12-10,1.0,3,-1,0,,,
2025-12-10,2.0,3,-1,0,,,
2025-12-11,1.0,4,-1,0,,,
2025-12-11,2.0,4,-1,0,,,
2025-12-12,1.0,5,-1,0,,,
2025-12-15,1.0,1,2,1,,,
2025-12-16,1.0,2,-1,0,,,
2025-12-16,2.0,2,-1,0,,,
2025-12-17,1.0,3,1,0,,,
2025-12-18,1.0,4,-1,0,,,
2025-12-19,1.0,5,2,1,,,
2025-12-19,2.0,5,-1,0,,,
